# Server version 0.05 running on vpn166028.wireless.mcgill.ca:8123
# Game ID: 5
# Board class: odd.OddBoard
# Timeout: 5000
# Date: Sun Apr 14 18:04:58 EDT 2013
# Player 1: Player1, 'RandomPlayer', running on vpn166028.wireless.mcgill.ca
# Player 2: Player2, 'Human', running on vpn166028.wireless.mcgill.ca
START Player1 RandomPlayer
START Player2 Human
1 BLACK -1 -1
2 WHITE 1 1
1 BLACK -4 0
2 BLACK 0 2
1 BLACK -3 -2
2 BLACK -2 0
1 WHITE -4 -4
2 BLACK -1 1
1 WHITE -2 -2
2 WHITE -1 0
1 BLACK -1 3
2 WHITE -2 1
1 WHITE 2 2
2 WHITE 3 3
1 BLACK 3 4
