# Server version 0.05 running on 192.168.0.102:8123
# Game ID: 78
# Board class: odd.OddBoard
# Timeout: 5000
# Date: Mon Apr 22 22:07:25 EDT 2013
# Player 1: Player1, 'UltraCarl', running on 192.168.0.102
# Player 2: Player2, 'The Sistah', running on 192.168.0.102
START Player1 UltraCarl
START Player2 The Sistah
1 WHITE 2 4
2 BLACK 2 3
1 WHITE -2 2
2 WHITE -2 -2
1 BLACK 4 1
2 BLACK -4 -1
1 BLACK 1 1
2 WHITE -3 -2
1 BLACK -3 0
2 WHITE 2 -2
1 BLACK 2 -1
2 WHITE -3 1
1 BLACK 1 -2
2 WHITE 0 -2
1 BLACK 2 1
2 BLACK -2 -3
1 BLACK 1 0
2 BLACK 0 -1
1 BLACK 1 -3
2 BLACK 1 4
1 WHITE -3 -4
2 BLACK 0 3
1 BLACK 3 1
2 BLACK 0 4
1 BLACK -3 -1
2 BLACK 4 0
1 WHITE -1 3
2 BLACK -1 2
1 WHITE 1 3
2 BLACK 1 2
1 WHITE 0 2
2 BLACK -3 -3
1 WHITE 0 1
2 BLACK -1 1
1 BLACK -2 1
GAMEOVER TIMEOUT Player2
WINNER Player1
# Game ended: Mon Apr 22 22:09:52 EDT 2013
