# Server version 0.05 running on 192.168.0.102:8123
# Game ID: 85
# Board class: odd.OddBoard
# Timeout: 5000
# Date: Mon Apr 22 22:24:46 EDT 2013
# Player 1: Player1, 'UltraCarl', running on 192.168.0.102
# Player 2: Player2, 'UltraCarl', running on 192.168.0.102
START Player1 UltraCarl
START Player2 UltraCarl
1 WHITE -4 -3
2 BLACK 2 1
1 WHITE -4 -4
2 BLACK -4 -2
1 WHITE -4 -1
2 WHITE -4 0
1 BLACK -3 -4
2 WHITE -3 -3
1 WHITE 1 4
2 WHITE -3 -1
1 WHITE -3 0
2 WHITE -3 1
1 WHITE -3 -2
2 WHITE -2 -3
1 BLACK -2 -2
