# Server version 0.05 running on 192.168.0.102:8123
# Game ID: 90
# Board class: odd.OddBoard
# Timeout: 5000
# Date: Mon Apr 22 22:33:14 EDT 2013
# Player 1: Player1, 'The Sistah', running on 192.168.0.102
# Player 2: Player2, 'The Sistah', running on 192.168.0.102
START Player1 The Sistah
START Player2 The Sistah
1 BLACK -3 -3
2 WHITE 2 1
1 WHITE 3 1
2 BLACK 4 0
1 WHITE -2 1
2 WHITE 3 4
1 BLACK -4 0
2 BLACK -4 -1
1 BLACK 0 2
2 WHITE -1 1
1 BLACK 2 0
2 BLACK 2 4
1 BLACK -4 -3
2 BLACK -3 -1
1 BLACK 0 0
2 WHITE -3 1
